#{"t_start": 1713661405.640897, "env_id": "PandaPickAndPlace-v1"}
r,l,t,is_success
-50.0,50,2.447555,0.0
-50.0,50,2.602751,0.0
-50.0,50,6.957089,0.0
-50.0,50,9.446284,0.0
-50.0,50,12.087231,0.0
-50.0,50,14.351075,0.0
-50.0,50,16.69204,0.0
-50.0,50,19.091216,0.0
-50.0,50,21.566942,0.0
-50.0,50,24.069639,0.0
-50.0,50,26.426295,0.0
-50.0,50,28.670149,0.0
-50.0,50,30.914399,0.0
-50.0,50,33.147279,0.0
-50.0,50,35.406229,0.0
-50.0,50,37.732271,0.0
-50.0,50,40.147156,0.0
-50.0,50,42.410299,0.0
-50.0,50,44.565768,0.0
-50.0,50,46.791281,0.0
-50.0,50,49.090961,0.0
-50.0,50,51.390049,0.0
-50.0,50,53.886879,0.0
-50.0,50,56.27894,0.0
-50.0,50,58.512961,0.0
-50.0,50,61.062068,0.0
-50.0,50,63.326713,0.0
-50.0,50,65.830372,0.0
-50.0,50,68.121133,0.0
-50.0,50,70.568567,0.0
-50.0,50,73.137537,0.0
-50.0,50,75.423996,0.0
-50.0,50,77.676218,0.0
-50.0,50,79.893982,0.0
-50.0,50,82.408007,0.0
-50.0,50,84.864323,0.0
-50.0,50,87.350846,0.0
-50.0,50,89.765473,0.0
-50.0,50,91.977115,0.0
-50.0,50,94.265616,0.0
-50.0,50,96.625265,0.0
-50.0,50,99.055564,0.0
-50.0,50,101.503778,0.0
-50.0,50,104.1363,0.0
-50.0,50,106.876656,0.0
-50.0,50,109.436337,0.0
0.0,50,112.214317,1.0
-50.0,50,114.50341,0.0
-50.0,50,116.910382,0.0
-50.0,50,119.229924,0.0
-50.0,50,121.575628,0.0
-50.0,50,123.933816,0.0
-50.0,50,126.431702,0.0
-50.0,50,128.804962,0.0
-50.0,50,131.153513,0.0
-50.0,50,133.633795,0.0
-50.0,50,136.181741,0.0
-50.0,50,138.658886,0.0
-50.0,50,142.117111,0.0
-50.0,50,145.137821,0.0
-50.0,50,147.866865,0.0
-50.0,50,150.576315,0.0
-50.0,50,152.99056,0.0
-50.0,50,155.494924,0.0
-50.0,50,157.977015,0.0
-50.0,50,160.285515,0.0
-50.0,50,162.767604,0.0
-50.0,50,165.184331,0.0
-50.0,50,168.25717,0.0
-50.0,50,170.805032,0.0
-50.0,50,173.000664,0.0
